SEQN,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH3,DMDEDUC2,DMDMARTL,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
62161,2,1,22,3,3,5,102641.406474,104236.582554,1,91
62162,2,2,3,1,,,15457.736897,16116.35401,3,92
62163,2,1,14,6,,,7397.684828,7869.485117,3,90
62164,2,2,44,3,4,1,127351.373299,127965.226204,1,94
62165,2,2,14,4,,,12209.74498,13384.042162,2,90
62166,2,1,9,3,,,60593.636684,64068.123183,1,91
62167,2,1,0,6,,,5024.464768,5303.683185,2,92
62168,2,1,6,7,,,5897.024603,6245.043868,2,103
62169,2,1,21,6,3,5,14391.77847,14783.600953,1,92
62170,2,1,15,7,,,7794.52699,8291.636582,3,91
62171,2,1,14,1,,,22768.423624,22886.980387,3,92
62172,2,2,43,4,3,5,26960.774346,27122.911908,2,96
62173,2,2,2,1,,,11401.934012,12203.058423,1,95
62174,2,1,80,3,5,1,24912.668432,27335.895242,3,90
62175,2,1,5,3,,,26980.605125,30440.534478,1,94
62176,2,2,34,3,5,1,53830.599426,54203.155016,1,99
62177,2,1,51,6,3,1,7879.750437,7851.284287,2,92
62178,2,1,80,3,3,2,12291.154515,13189.875012,1,95
62179,2,1,55,6,5,1,16590.074977,17115.36835,1,92
62180,2,1,35,3,5,1,20457.614917,22616.494827,1,97
62181,2,1,9,1,,,13822.148996,14860.201344,3,92
62182,1,1,75,3,5,1,63069.107216,0,1,90
62183,2,1,6,4,,,10138.00454,10211.52145,1,100
62184,2,1,26,4,3,5,15600.678771,15236.26157,2,95
62185,2,1,16,1,,,18635.323223,19040.145288,2,103
62186,2,2,17,4,,,11224.041366,11682.365019,1,96
62187,2,2,9,1,,,10118.363218,11093.371216,2,103
62188,2,1,2,2,,,11793.948458,12167.27893,1,100
62189,2,2,30,6,4,1,17983.231494,18657.922524,1,94
62190,2,2,15,1,,,20419.465237,21192.774678,2,102
62191,2,1,70,4,3,3,8661.769277,9105.621464,1,96
62192,2,2,11,1,,,14087.469432,14372.406512,2,97
62193,2,1,17,4,,,11386.695644,11908.648036,2,99
62194,2,2,9,3,,,36778.822436,37956.900598,1,99
62195,2,1,35,4,4,6,15842.100091,16468.990083,2,90
62196,2,1,1,3,,,35830.680775,40425.523018,2,95
62197,2,2,16,4,,,20015.720245,20424.69013,2,102
62198,2,1,7,3,,,30754.608672,32212.772113,1,98
62199,2,1,57,3,5,6,127000.852889,130891.431194,2,92
62200,2,1,42,6,5,1,19184.316833,20543.822351,1,97
62201,1,2,58,6,2,2,19442.276314,0,1,95
62202,2,1,36,1,2,1,41155.167164,40844.556107,1,102
62203,2,1,8,4,,,11324.954668,11525.075349,1,93
62204,1,2,9,6,,,5585.02957,0,2,103
62205,2,1,28,3,5,5,103663.693967,105583.964573,1,90
62206,2,2,35,3,4,1,67177.369911,67642.297015,3,92
62207,2,1,0,4,,,6988.613752,7730.080563,1,100
62208,2,1,38,2,4,1,41241.224595,41216.943466,2,102
62209,2,2,62,1,1,4,13473.304889,14578.166065,2,96
62210,2,1,15,3,,,100370.520459,102294.664852,1,90
62211,1,2,63,1,1,1,16352.915834,0,3,92
62212,1,2,8,4,,,9465.598219,0,2,91
62213,2,1,2,4,,,5422.375171,5488.513785,2,99
62214,2,2,22,4,3,4,18723.98095,21433.166124,2,95
62215,2,2,65,3,4,1,129999.035519,129559.2554,1,98
62216,2,1,0,3,,,19442.488468,19106.370101,2,92
62217,2,2,77,1,1,5,15730.58404,17568.357111,2,98
62218,2,2,38,4,4,5,39534.635218,41046.564195,2,102
62219,2,2,2,1,,,11582.174418,11621.723611,2,102
62220,2,2,31,4,5,5,33193.038733,33538.564898,1,96
62221,2,2,41,4,5,1,25818.768393,25697.012112,1,100
62222,2,1,32,3,5,1,89973.129052,97483.088567,1,93
62223,2,1,54,6,3,1,10133.862484,12107.78442,3,90
62224,2,2,29,2,1,1,43986.779369,46449.619953,1,93
62225,2,2,13,1,,,24481.187693,25761.611656,1,92
62226,2,1,80,2,4,1,13654.270555,13892.295449,2,93
62227,2,1,19,3,,,68701.580401,72973.564721,2,94
62228,2,1,50,3,5,1,144353.133634,144729.952645,1,91
62229,2,2,31,3,5,1,72426.980535,75980.145152,1,98
62230,2,1,75,3,1,3,12946.818038,13703.92145,1,101
62231,2,2,48,1,3,1,43535.993088,52686.708499,2,102
62232,2,2,42,3,4,1,115926.402585,118970.086068,1,101
62233,2,2,63,1,2,4,10999.00871,11900.968385,2,98
62234,2,1,23,4,4,5,14860.312419,14555.816778,3,90
62235,2,2,2,3,,,49862.013993,55032.245455,2,91
62236,2,1,61,6,4,1,9048.959172,9513.611982,1,93
62237,2,2,58,3,5,1,140431.173819,139253.659476,1,91
62238,2,2,0,3,,,20786.668002,20803.881706,1,101
62239,2,2,22,2,3,6,39426.061521,39254.343691,2,94
62240,2,2,14,2,,,26657.121865,28092.602686,1,97
62241,2,1,2,2,,,9237.934626,9897.780242,2,90
62242,2,1,24,3,5,5,129608.716834,132839.525748,1,100
62243,2,2,1,3,,,49862.013993,51432.868823,2,91
62244,2,1,1,1,,,14505.670599,14525.271178,2,102
62245,2,1,8,6,,,10810.913614,11522.32071,1,97
62246,2,2,0,1,,,7210.38482,7501.352858,1,100
62247,1,2,0,4,,,5158.857524,0,1,97
62248,2,1,65,6,1,1,9048.959172,9881.360452,1,93
62249,2,2,26,3,5,5,59001.303336,59528.815212,2,101
62250,2,1,34,1,5,1,51543.062078,52965.08671,3,92
62251,2,2,51,6,4,1,16672.82247,17074.238333,1,92
62252,2,2,11,1,,,17053.854294,17379.519997,3,92
62253,2,1,18,3,,,68701.580401,72973.564721,2,94
62254,2,1,14,4,,,15381.581315,15476.088016,1,93
62255,2,1,65,3,3,1,29731.886612,29889.869541,1,95
62256,2,1,80,3,1,1,7911.357817,9487.389486,2,94
62257,2,2,2,1,,,9469.751474,10135.116584,1,102
62258,2,1,47,2,1,1,43470.92932,42833.060444,1,92
62259,2,1,61,4,4,3,7736.56115,7645.782314,1,99
62260,2,1,10,3,,,57305.501166,60591.443404,1,94
62261,2,1,47,2,4,1,33029.272844,33366.323953,2,93
62262,2,2,0,2,,,7367.430495,7616.752822,2,91
62263,2,1,2,3,,,28617.223132,33531.791823,1,101
62264,2,1,77,3,2,1,52448.388619,55291.886181,1,99
62265,2,1,52,3,4,1,19478.845078,19591.5023,2,95
62266,2,1,64,3,5,3,29999.543427,30837.648113,2,91
62267,2,2,27,3,4,1,34430.806911,35615.742482,2,95
62268,2,2,15,1,,,16734.618372,17498.916137,2,96
62269,2,1,29,4,2,5,14718.123234,15404.517346,2,101
62270,2,2,33,2,5,5,31765.061314,30907.973228,2,93
62271,2,1,7,4,,,6971.452972,8307.996458,2,99
62272,2,1,9,2,,,11102.340512,11169.626274,2,93
62273,2,2,15,6,,,7588.544207,7881.983727,3,91
62274,2,1,2,4,,,5103.735747,5455.59,2,95
62275,2,2,41,6,5,5,14442.406316,14518.77693,2,99
62276,2,1,9,3,,,63059.776443,67841.511058,1,99
62277,2,2,55,3,4,3,139343.551779,140618.30879,2,98
62278,2,2,72,3,4,1,62212.598767,64340.261278,1,94
62279,2,1,80,4,2,2,9456.784526,9941.375417,2,99
62280,2,2,54,4,4,2,16966.723528,16502.38463,2,95
62281,2,2,13,4,,,11372.489138,11738.962427,1,99
62282,2,2,57,4,5,3,21219.116826,20638.40003,1,102
62283,2,1,2,1,,,14457.854197,15490.547336,1,92
62284,2,2,64,3,5,1,117778.281347,120111.495123,1,94
62285,2,2,17,3,,,103007.696238,104941.393061,1,101
62286,2,1,30,4,3,5,12556.207754,12615.022145,2,99
62287,2,2,73,4,4,1,12183.823561,12607.778632,2,100
62288,2,1,29,3,4,5,22634.531479,23281.741513,1,103
62289,2,1,71,7,2,3,13555.672819,15969.746949,1,94
62290,2,2,2,4,,,7618.827213,7957.141798,2,101
62291,2,1,56,7,4,1,20111.196953,20038.543847,1,92
62292,2,1,80,3,5,2,36829.543424,39682.305625,1,93
62293,2,1,67,3,4,3,28478.57859,28745.66908,1,101
62294,2,1,9,2,,,9390.522479,10327.334743,2,90
62295,2,2,69,2,2,2,9716.805546,12994.252166,2,90
62296,2,1,19,4,,,13251.602554,13277.802057,1,96
62297,2,1,43,4,4,1,18402.969014,18977.095614,2,95
62298,2,1,15,3,,,93665.036597,95017.313859,1,91
62299,2,1,8,6,,,6631.058951,7488.793181,2,92
62300,2,2,6,4,,,6929.51414,7399.559927,2,99
62301,2,1,23,4,2,5,16995.648055,16907.09145,1,96
62302,2,2,51,2,1,5,19676.781212,20033.616894,2,103
62303,2,2,76,3,3,1,61501.13451,65355.920739,2,101
62304,2,2,6,1,,,9872.244853,10573.701398,2,90
62305,2,1,10,1,,,13285.093011,14158.005149,2,94
62306,2,1,0,2,,,4884.343512,4884.433539,3,90
62307,2,1,61,4,3,5,7828.117773,8460.915547,2,90
62308,2,2,78,3,3,1,83112.549416,87237.362828,1,97
62309,2,2,47,1,2,2,40337.933888,40548.292782,3,92
62310,2,2,8,4,,,7632.404654,7765.546414,2,101
62311,2,1,18,3,,,68148.957861,67253.324127,1,93
62312,2,2,63,1,1,1,16352.915834,17178.789759,3,92
62313,2,1,7,1,,,12577.115885,12876.06354,2,96
62314,2,1,61,4,3,5,7611.107768,7639.752345,2,97
62315,2,2,80,4,2,2,12842.559946,13803.13967,2,95
62316,2,1,39,2,2,1,31674.692905,34832.561132,2,100
62317,2,1,46,3,5,1,18872.772727,18824.29246,1,94
62318,2,2,0,3,,,8114.787453,8336.925581,1,91
62319,2,2,4,4,,,10437.988787,11231.392369,2,100
62320,2,2,64,3,4,1,122483.259869,124909.680309,3,91
62321,2,2,8,6,,,6412.057856,6847.117735,3,91
62322,2,2,4,4,,,10295.166918,11223.20055,2,96
62323,2,2,2,4,,,7618.827213,7957.141798,2,101
62324,2,2,60,1,4,4,11469.456138,12167.81965,1,90
62325,2,2,43,4,3,6,30932.175051,32888.281888,2,101
62326,2,1,69,3,5,1,153565.050575,157855.235487,1,97
62327,2,2,19,4,,,12209.74498,12386.615954,2,90
62328,2,2,9,4,,,7899.813226,8111.155436,2,97
62329,2,1,2,2,,,11793.948458,12167.27893,1,100
62330,2,2,33,6,5,1,21097.664283,22267.583876,2,96
62331,2,1,9,7,,,8246.426933,8701.859504,1,99
62332,2,1,22,3,4,6,31962.323978,33458.586112,1,100
62333,2,2,45,6,3,1,13046.228603,13115.21631,2,92
62334,2,1,9,3,,,19590.665143,20475.022602,3,91
62335,2,1,14,2,,,13921.972975,14228.387356,3,90
62336,2,1,55,2,4,6,24211.824535,24947.165851,2,93
62337,2,2,10,1,,,15166.167659,15537.272247,2,94
62338,1,2,2,1,,,12260.86913,0,3,92
62339,2,1,29,3,4,1,71402.235366,74200.659205,2,100
62340,2,1,44,3,4,1,126789.52929,130826.463813,1,101
62341,2,1,8,1,,,13285.093011,13365.60735,2,94
62342,2,2,38,3,4,1,77778.949308,78565.115731,1,101
62343,2,1,28,4,4,5,17420.978407,17615.311737,2,97
62344,1,2,32,4,5,5,26426.249254,0,1,99
62345,2,2,38,3,5,1,64324.554311,66806.652381,2,103
62346,2,1,19,7,,,6558.308393,6849.983523,2,92
62347,2,2,71,3,3,2,25812.913537,27430.822937,2,95
62348,2,2,19,4,,,11419.859653,11886.179371,2,99
62349,2,2,23,3,4,1,122473.120523,125156.324631,3,91
62350,2,2,43,3,3,3,96255.674553,99423.043377,2,94
62351,2,1,7,3,,,25604.034863,26336.174292,1,95
62352,2,2,3,4,,,10437.988787,10601.396934,2,100
62353,2,1,80,3,5,1,39587.338944,43437.954199,2,91
62354,2,2,11,3,,,80369.555824,79030.006233,1,97
62355,2,2,16,6,,,7176.749123,7692.153155,3,91
62356,2,2,14,1,,,26325.414456,27702.295836,3,92
62357,2,1,36,3,4,1,94433.586146,101591.315487,1,91
62358,2,2,0,1,,,9767.083234,9561.595244,3,92
62359,2,2,54,1,1,1,22224.73066,23825.197607,2,94
62360,2,1,17,4,,,11429.628358,11541.555232,2,96
62361,2,1,7,4,,,13423.881856,14179.490667,2,101
62362,2,2,11,4,,,8579.490652,8919.477637,2,97
62363,2,2,44,3,2,3,134897.594057,143557.343892,2,102
62364,2,2,4,1,,,14899.363418,16449.297045,1,100
62365,2,2,37,6,4,1,21097.664283,21336.137518,2,96
62366,2,1,80,3,3,1,37318.801462,40047.525745,1,98
62367,2,1,50,6,2,1,10133.862484,10097.253197,3,90
62368,2,2,80,2,1,2,23176.790531,24820.797478,1,98
62369,2,2,8,2,,,15352.601806,15663.127806,2,102
62370,2,1,21,6,4,5,13843.66558,14262.333267,1,90
62371,2,1,32,6,5,1,22403.911395,23863.238542,2,96
62372,2,2,55,6,4,1,17991.883465,18643.986017,2,102
62373,2,1,46,1,1,1,37324.655911,36776.974122,1,102
62374,2,2,31,3,4,3,31335.13799,33530.36206,1,101
62375,2,1,24,1,3,6,52698.05363,59566.360508,3,92
62376,2,1,6,4,,,7730.47951,9212.541007,1,99
62377,2,2,78,3,2,2,35965.834545,38220.111719,1,95
62378,2,2,68,2,1,3,10979.149658,11879.480817,1,96
62379,2,1,40,7,5,5,24837.95225,25237.159887,1,102
62380,2,1,16,1,,,15506.325263,15592.022118,1,103
62381,2,1,21,4,3,5,15408.94893,15514.368855,1,99
62382,2,2,1,4,,,5743.559235,6261.298887,2,99
62383,2,1,23,3,5,5,91704.59836,93129.802737,1,93
62384,2,1,40,3,3,4,27444.308565,27682.940425,1,101
62385,2,1,0,4,,,6699.703488,6998.255943,2,96
62386,2,1,35,7,3,1,21163.049914,22845.160537,1,97
62387,2,1,23,4,3,5,17420.978407,17597.975048,2,97
62388,2,2,69,3,3,2,49644.076348,54110.530387,1,97
62389,2,2,16,7,,,11975.458482,12291.118947,1,97
62390,2,2,25,6,5,5,14095.963218,14697.88566,2,92
62391,2,2,40,1,3,1,34954.173075,36222.975959,2,98
62392,2,2,1,1,,,12260.86913,12783.275371,3,92
62393,2,1,20,1,3,5,39915.513053,48709.670361,2,98
62394,2,1,1,1,,,12493.910388,13386.323284,2,98
62395,2,2,1,1,,,12871.484115,13281.030392,2,102
62396,2,1,10,1,,,10658.399025,10827.062436,1,102
62397,2,2,70,1,1,2,17077.396628,18362.705174,2,96
62398,2,1,9,3,,,19926.440922,21167.339982,1,94
62399,2,2,53,1,1,1,24870.513993,25871.320138,2,98
62400,2,2,31,3,4,5,27463.558155,27680.636989,2,100
62401,2,2,15,3,,,93740.540203,99321.165816,1,100
62402,2,1,48,6,1,4,14259.601244,14208.087437,1,93
62403,2,2,3,4,,,8192.75936,8404.22838,2,99
62404,2,1,44,4,3,5,22009.438408,22692.209281,2,99
62405,2,1,5,2,,,14716.463544,14890.443704,2,96
62406,2,2,10,2,,,19936.606751,20692.800636,1,94
62407,2,1,49,7,4,3,28680.660607,29290.218786,1,94
62408,1,1,58,3,4,1,174520.785302,0,1,95
62409,2,2,80,3,3,2,22419.63376,27869.657009,1,94
62410,2,1,5,4,,,8158.702829,8662.344233,2,99
62411,2,2,51,4,4,5,15790.702799,17527.166432,2,90
62412,2,1,16,1,,,21718.29328,22050.264992,2,94
62413,2,1,65,3,4,6,131445.986898,130104.237054,1,101
62414,2,1,58,4,3,5,17206.320427,17681.811932,1,96
62415,2,2,27,3,4,1,129336.409693,136474.939567,1,95
62416,2,2,19,2,,,13824.001771,14551.102227,2,90
62417,2,2,26,2,4,5,45207.136555,46085.238422,1,94
62418,2,1,80,3,1,2,46965.818538,52174.805072,1,101
62419,2,1,80,3,3,1,42993.150248,46481.579201,1,95
62420,1,1,24,1,4,5,59682.963348,0,2,102
62421,2,1,23,6,5,5,14313.345971,15171.949804,3,91
62422,2,2,72,3,4,2,63504.762752,64182.95787,1,91
62423,1,2,8,4,,,13192.206605,0,2,102
62424,2,1,20,2,2,5,41713.173502,43905.698512,1,90
62425,2,2,30,3,5,1,81658.419251,86275.41601,2,99
62426,2,1,9,1,,,8828.580268,8822.70874,2,103
62427,2,1,15,4,,,11462.850569,11753.30805,2,100
62428,2,2,12,4,,,16598.888685,16325.283055,2,102
62429,2,1,47,4,5,5,25964.952645,26121.35248,2,96
62430,2,1,27,2,5,1,49006.291777,50482.76018,1,92
62431,2,1,54,4,2,5,25969.864445,29542.265764,1,97
62432,2,2,38,3,5,1,75294.690128,81171.633513,1,90
62433,2,1,10,4,,,8579.422451,10224.240431,1,99
62434,2,2,61,4,3,6,9113.905743,10210.592308,3,90
62435,2,2,0,3,,,16547.193167,16560.896108,1,97
62436,2,1,4,1,,,11776.305841,11467.607256,1,90
62437,2,1,39,1,2,6,33948.23667,35734.088319,2,97
62438,2,1,0,4,,,6339.587912,6622.092882,1,91
62439,2,1,75,3,4,1,60942.568495,64726.722108,1,94
62440,2,1,22,1,4,1,35669.2076,36294.041819,2,94
62441,2,1,68,2,1,1,8609.250304,11228.904188,2,90
